栄養素id,栄養素,食材,100gあたり含有量,単位,一食の目安量g,一食あたり,一日の目安量,割合%,レベル,タグ,食品番号,含有量の出典,基準値の出典,確認メモ
alc,アルコール,日本酒,12.3,g,180,22.14,20.0,111,1,,16001,確認済,食事摂取基準に基準なし／健康日本21・節度ある適度な飲酒20g,実線化・日本食品標準成分表（八訂）増補2023年照合（品番16001 清酒普通酒）
alc,アルコール,焼酎,20.5,g,90,18.45,20.0,92,1,,16015,確認済,食事摂取基準に基準なし／健康日本21・節度ある適度な飲酒20g,実線化・日本食品標準成分表（八訂）増補2023年照合（品番16015 単式蒸留しょうちゅう）
alc,アルコール,ワイン,9.3,g,120,11.16,20.0,56,1,,16011,確認済,食事摂取基準に基準なし／健康日本21・節度ある適度な飲酒20g,実線化・日本食品標準成分表（八訂）増補2023年照合（品番16011 ぶどう酒赤）
alc,アルコール,ビール,3.7,g,350,12.95,20.0,65,1,,16006,確認済,食事摂取基準に基準なし／健康日本21・節度ある適度な飲酒20g,実線化・日本食品標準成分表（八訂）増補2023年照合（品番16006 ビール淡色）
alc,アルコール,梅酒,10.2,g,60,6.12,20.0,31,1,,16022,確認済,食事摂取基準に基準なし／健康日本21・節度ある適度な飲酒20g,実線化・日本食品標準成分表（八訂）増補2023年照合（品番16022 梅酒）
b1,ビタミンB1,豚もも,0.9,mg,80,0.72,0.9,80.0,1,,11130,確認済,2025年版・女性30-49・推奨量,11130 ＜畜肉類＞ ぶた ［大型種肉］ もも 脂身つき 生
b1,ビタミンB1,玄米,0.41,mg,150,0.61,0.9,67.8,1,,01080,確認済,2025年版・女性30-49・推奨量,01080 こめ ［水稲穀粒］ 玄米
b1,ビタミンB1,豚ひき肉,0.69,mg,80,0.55,0.9,61.1,1,,11163,確認済,2025年版・女性30-49・推奨量,11163 ＜畜肉類＞ ぶた ［ひき肉］ 生
b1,ビタミンB1,豚ロース,0.69,mg,80,0.55,0.9,61.1,1,,11123,確認済,2025年版・女性30-49・推奨量,11123 ＜畜肉類＞ ぶた ［大型種肉］ ロース 脂身つき 生
b1,ビタミンB1,豚ばら,0.51,mg,80,0.41,0.9,45.6,1,,11129,確認済,2025年版・女性30-49・推奨量,11129 ＜畜肉類＞ ぶた ［大型種肉］ ばら 脂身つき 生
b1,ビタミンB1,大豆,0.71,mg,50,0.35,0.9,38.9,1,,04023,確認済,2025年版・女性30-49・推奨量,04023 だいず ［全粒・全粒製品］ 全粒 黄大豆 国産 乾
b1,ビタミンB1,うなぎ,0.37,mg,80,0.3,0.9,33.3,1,,10067,確認済,2025年版・女性30-49・推奨量,10067 ＜魚類＞ うなぎ 養殖 生
